Index,Date Added,Url,Anchor Text,LinksOnPage
1,1/1/2012 23:19,http://www.filocity.com,{file taxes|tax filing},
2,1/2/2012 2:36,http://darinsargent411.lache-tes.com/p139152/2012-01-02-online-tax-filing-online-and-document-management-software.html,Online tax filing online and document management software,http://www.filocity.com
3,1/2/2012 2:36,http://www.iamsport.org/pg/blog/darinsargent411/read/817482/online-tax-filing-online-and-document-management-software,Online tax filing online and document management software,http://www.filocity.com
4,1/2/2012 2:36,http://darinsargent411.blogspace.fr/2935057/Online-tax-filing-online-and-document-management-software/,Online tax filing online and document management software,http://www.filocity.com
5,1/2/2012 2:36,http://www.fighterz.com/blogs/details/Online-tax-filing-online-and-document-management-software,Online tax filing online and document management software,http://www.filocity.com
6,1/2/2012 2:36,http://www.glbsocial.net/blog.php?user=bennieburges25&blogentry_id=11809,Online tax filing online and document management software,http://www.filocity.com
7,1/2/2012 2:37,http://www.lesblogues.com/bennieburges25/91612/Online+tax+filing+online+and+document+management+software.html,Online tax filing online and document management software,http://www.filocity.com
8,1/2/2012 2:37,http://www.flixya.com/blog/3956922/Online-tax-filing-online-and-document-management-software,Online tax filing online and document management software,http://www.filocity.com
9,1/3/2012 2:36,http://bennieburges25.blog4ever.com/blog/lire-article-620563-3933646-online_tax_filing_online_and_document_management_s.html,Online tax filing online and document management software,http://www.filocity.com
10,1/3/2012 2:36,http://www.schuelerprofile.de/blog/showAnswers/BlogId/54793/EntryId/269965,Online tax filing online and document management software,http://www.filocity.com
11,1/3/2012 2:36,http://coryreeves921.soup.io/post/210493514/Online-tax-filing-online-and-document-management,Online tax filing online and document management software,http://www.filocity.com
12,1/3/2012 2:36,http://www.vilago21.com/event/Online+tax+filing+online+and+document+management+software/149166/profile,Online tax filing online and document management software,http://www.filocity.com
13,1/3/2012 2:36,http://bennieburges25.over-blog.com/pages/online-tax-filing-online-and-document-management-software-6241295.html,Online tax filing online and document management software,http://www.filocity.com
14,1/3/2012 2:36,http://paneucklygeiona.bandvista.com/?post_id=172392,Online tax filing online and document management software,http://www.filocity.com
15,1/3/2012 2:36,http://hook2it.com/blogs/entry/Online-tax-filing-online-and-document-management-software,Online tax filing online and document management software,http://www.filocity.com
16,1/3/2012 2:37,http://www.reverbnation.com/page_object/page_object_blogs/artist_2250133,Online tax filing online and document management software,http://www.filocity.com
17,1/3/2012 2:37,http://www.socializr.com/event/325498159,Online tax filing online and document management software,http://www.filocity.com
18,1/4/2012 8:03,http://www.sixreps.com/blogs/241740/383876/online-tax-filing-online-and-doc,Online tax filing online and document management software,http://www.filocity.com
19,1/4/2012 8:03,http://www.artslant.com/ew/groups/show/326574,Online tax filing online and document management software,http://www.filocity.com
20,1/4/2012 8:03,http://www.incompany.com/blog.php?user=darinsargent411&blogentry_id=59345,Online tax filing online and document management software,http://www.filocity.com
21,1/4/2012 8:03,http://PaneucklygeIona.newsvine.com/_news/2012/01/04/9944500-online-tax-filing-online-and-document-management-software,Online tax filing online and document management software,http://www.filocity.com
22,1/4/2012 8:03,http://bgm.me/r/445380,Online tax filing online and document management software,http://www.filocity.com
23,1/4/2012 8:03,http://blog.bodybuilding.com/bennieburges25/2012/01/04/online_tax_filing_online_and/,Online tax filing online and document management software,http://www.filocity.com
24,1/4/2012 8:03,http://taxfiling58.tumblr.com/post/15293198119/online-tax-filing-online-and-document-management,Online tax filing online and document management software,http://www.filocity.com
25,1/4/2012 8:03,http://www.jukeboxalive.com/blog.php?blog_id=5025449,Online tax filing online and document management software,http://www.filocity.com
26,1/4/2012 8:04,http://taxfiling58.wordpress.com/2012/01/04/online-tax-filing-online-and-document-management-software/,Online tax filing online and document management software,http://www.filocity.com
27,1/5/2012 8:03,http://coryreeves921.insanejournal.com/442.html,Online tax filing online and document management software,http://www.filocity.com
28,1/5/2012 8:03,http://darinsargent411.posterous.com/online-tax-filing-online-and-document-managem,Online tax filing online and document management software,http://www.filocity.com
29,1/5/2012 8:03,http://www.dailystrength.org/people/1203464/journal,Online tax filing online and document management software,http://www.filocity.com
30,1/5/2012 8:03,http://community.atom.com/Post/Online-tax-filing-online-and-document-management-software/03EFBFFFF025590DF0008017E860A,Online tax filing online and document management software,http://www.filocity.com
31,1/5/2012 8:03,http://www.quechup.com/blog/entry/view/id/739769,Online tax filing online and document management software,http://www.filocity.com
32,1/5/2012 8:03,http://bennieburges25.womenblog.us/The-first-blog-b1/Online-tax-filing-online-and-document-management-software-b1-p2.htm,Online tax filing online and document management software,http://www.filocity.com
33,1/5/2012 8:03,http://darinsargent411.skyrock.com/3059702561-Online-tax-filing-online-and-document-management-software.html,Online tax filing online and document management software,http://www.filocity.com
34,1/5/2012 8:03,http://wallinside.com/post-1089527.html,Online tax filing online and document management software,http://www.filocity.com
35,1/5/2012 8:03,http://www.ziki.com/en/cory-reeves-2+692069/post/Online-tax-fili+13566294,Online tax filing online and document management software,http://www.filocity.com
